month-year,temp,tick,
2015-06,25.48957,80.734309,
2015-07,26.8501871,84.313725,
2015-08,25.80372581,45.145457,
2015-09,23.38488667,47.940075,
2015-10,19.15657391,16.1882715,
2015-11,14.218328,0,
2016-04,18.19056333,125.984252,
2016-05,21.61162258,67.0343495,
2016-06,26.16558235,43.333333,
2016-07,26.52201905,68.0005335,
2016-08,26.86348065,92.903226,
2016-09,26.25091,93.8443395,
2016-10,22.19612258,5,
2016-11,16.0812069,0,
2017-08,25.26376429,99.1666665,
2017-09,22.87785385,110,
2018-03,13.26699677,5,
2018-04,15.63998,46.28866,
2018-05,23.51370968,110,
2018-06,26.03084286,37.5,
2018-07,26.5009,79.8201935,
2018-08,25.48485806,36.666667,
2018-09,25.46933,73.333333,
2018-10,19.80702581,20,
2019-03,12.85455806,14.906832,
2019-04,18.08062667,58.4578745,
2019-05,23.62220645,163.779528,
2019-06,24.98422414,37.052632,
2019-07,26.33345806,26.075269,
2019-08,26.21674516,24.774194,
2019-09,27.58942333,37.5327955,
2020-03,17.30982258,31.718062,
2020-05,20.55174839,23.414634,
2020-07,25.93914286,33.728673,
2020-08,25.78265517,83.3406595,
2020-09,22.92416,114.782609,
2021-04,17.0857,131.8066155,
2021-05,20.93937333,193.710692,
2021-06,24.20254333,246.5986395,
2021-07,25.46326522,119.800333,
2021-08,25.56731613,100.0811315,
2021-09,22.94083,59.911894,
2022-03,14.59028387,0,
2022-04,17.52674138,9.0471325,
2022-05,22.91805806,20.53558,
2022-06,26.25475714,23.678647,
2022-07,26.5840129,10.38961,
2022-08,25.11621935,10.261071,
2022-09,23.48032333,10.062893,
2023-04,18.25947619,30.7582885,
2023-05,21.08219091,47.659574,
2023-06,25.24209412,49.464778,
2023-07,26.59460357,17.777778,
2023-08,27.64632258,20.425532,
2024-03,15.18449032,3.397028,
2024-04,18.39759,29.9275365,
2024-05,23.45977097,119.869707,
2024-06,26.07389286,57.342259,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,